id,source,published_at,category,title,model_label,model_score,model_relevance,human_label,human_relevant
2014,dunya,2026-06-12,global_risk,Finans devinden piyasalara uyarı: Eski riskler geri dönüyor,negative,-0.7,0.7,negative,y
1776,aa_ekonomi,2026-06-10,energy_commodities,ABD/İsrail-İran Savaşı'nda petrol arzı kaybının 1 milyar varile ulaştığı hesaplanıyor,negative,-0.7,0.8,negative,y
265,ntv_ekonomi,2026-04-30,turkey_macro,Enflasyon verileri ne zaman açıklanacak? Ekonomistlerin enflasyon beklentisi belli oldu,neutral,0.0,1.0,neutral,y
1155,aa_ekonomi,2026-06-04,rates_tcmb,TDT Üye Ülkeleri Merkez (Ulusal) Bankaları Konseyi'nin üçüncü toplantısı 2027'de TCMB ev sahipliğinde yapılacak,positive,0.2,1.0,neutral,y
1783,aa_ekonomi,2026-06-10,bist_company,Borsa güne düşüşle başladı,negative,-0.4,1.0,negative,y
53,sabah_ekonomi,2026-05-26,rates_tcmb,Hazine'den yeni borçlanma hamlesi,negative,-0.5,1.0,neutral,y
1338,dunya,2026-06-08,global_risk,AB'den stratejik sektörlerdeki yabancı yatırımlara sıkı denetim,neutral,0.0,0.7,neutral,y
1882,investing_tr_economy,2026-06-10,global_risk,"BofA’ya göre euro, Fed yeniden fiyatlama riski artarken düşüşe açık",neutral,0.0,0.7,neutral,y
973,aa_ekonomi,2026-06-04,turkey_macro,"Türkiye'nin su ürünleri üretimi 2025'te yüzde 11,1 arttı",positive,0.3,1.0,positive,y
1301,haberturk_ekonomi,2026-06-05,turkey_macro,Maaş zamlarında 5 aylık enflasyon farkı belli oldu,neutral,0.0,1.0,neutral,y
1798,aa_ekonomi,2026-06-09,bist_company,Borsa günü düşüşle tamamladı,negative,-0.4,1.0,negative,y
1754,sabah_ekonomi,2026-06-10,bist_company,THY 2026'da da zirvede! Türkiye'nin en değerli markası oldu,positive,0.5,1.0,positive,y
1986,sozcu_gundem,2026-06-11,other,Amerikalı Richard bambaşka biri çıktı! 2.5 milyon dolarlık vurgun İstanbul'da bitti,negative,-0.4,0.1,negative,n
